"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"European Union","EUU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","33.433396026499","34.3047289444972","","34.7433899272751","35.0642106425096","35.5658470612531","36.0609328852416","38.3540315224576","39.1784120404551","40.3498068404115","39.9255811027862","39.7906102659993","40.788051312131","39.9020699852301","40.2065553068175","40.6855633291395","41.437079695001","41.7631726289158","42.2349352991412","42.228025867646","42.5615786850273","42.5457202912841","42.9688947413334","43.8173979177825","44.7222021255259","45.2637208017533","44.8334792694097","44.7642727828813","44.8753894828572","44.8188154181707","44.7431669127285","45.0842024275482","45.49575615755","46.1503195000434","46.8411869655914","47.3861213961033","47.8676754796175","46.9940560547364","47.5038816572806","48.5729222282961",
"Fragile and conflict affected situations","FCS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","42.8","","53.61","44.01","54.96","67.49","","55.93","56.86","56.3","55.91","55.98","57.31","63.066","60.293","56.152","52.443","51.473","47.173","46.106","46.534","47.64","50.894","51.318","52.23","52.742","52.492","51.69","51.882","52.456","53.249","53.551","52.644","51.743","51.835","52.033","51.356","51.07","50.69","50.279","50.57","51.811","52.352","51.121","52.684","54.464",
"Fiji","FJI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.28","","","","","","","","33.4","33.04","","","","","","43.358","","","37.78","","36.415","","","","","","",
"France","FRA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","38.88","38.86","38.84","39.23","41.058","40.826","40.606","41.316","40.548","40.711","40.886","41.021","41.434","41.237","41.372","41.022","41.441","41.559","41.309","41.737","42.117","43.091","43.729","44.257","45.728","45.189","45.403","45.546","46.402","46.922","46.55","46.412","46.283","46.367","46.664","46.465","46.53","46.53","46.5","46.773","46.977","46.603","48.185","48.771",
"Faroe Islands","FRO","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.781","","","","","","","","",
"Gabon","GAB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.14","","","","","","","","","","","","41.52","","","","","28.53","","","","","","","","","","","","",
"United Kingdom","GBR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","34.11","35.07","35.09","","","41.196","42.433","43.348","43.807","44.761","46.258","48.375","48.972","48.403","48.502","48.406","48.626","48.836","49.55","50.213","50.474","51.016","51.558","51.855","52.255","52.335","52.63","53.014","53.132","52.924","53.124","52.544","52.211","52.078","52.244","52.767","53.703","54.27","54.804","55.353","55.744","56.39","","","",
"Georgia","GEO","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9","51.15","54","52.05","49.86","50.92","50.16","48.82","47.4","48.1","44.9","44.225","46.01","46.467","46.865","47.319","49.045","50.747","50.574","50.787","49.335","48.993","49.386","","",
"Ghana","GHA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2","61","","73.848","74.2","","","","","","60.5","75.8","64.84","","","","","","65.589","","","","65.4","","","71.97","","61.195","","67.072","","","","","",
"Gibraltar","GIB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.579","","","","","","","","","","","","","","","","","40.701","","","",
"Gambia, The","GMB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.077","","","","","","54.41","","","","",
"Guinea-Bissau","GNB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.737","","","","",
"Equatorial Guinea","GNQ","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","28.43","27.33","29.681","29.857","30.645","30.594","30.241","30.733","31.128","31.092","28.722","29.616","29.404","29.972","30.339","30.905","30.633","32.297","32.52","32.926","32.657","33.187","33.913","34.446","34.97","36.077","36.334","37.056","37.185","36.358","33.9","31.111","29.633","30.411","31.461","31.968","32.702","33.226","34.557","35.007","35.314","37.349",
"Grenada","GRD","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.36","","","","","","","","","","43.3","","","","","","","","","","","","","","","","","","","","46.583","50.83","38.885","","",
"Greenland","GRL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","58","57","57","56","57","56","57","","","","","","","",
"Guatemala","GTM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9","","45.1","46.675","41.014","","49.75","","","","40.381","37.603","43.985","38.856","39.203","37.489","38.697","37.827","38.007","36.734","","41.98","39.641",
"Guam","GUM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","43.5","","","43.07","","","44.83","","","","53","","","","","","","","","","33.65","","49.5","","48.7","50.9","51.5","43.9","","48.4","51.2","47.7","","","","","","","","","","","",
"Guyana","GUY","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.94","","","","","","","","","","","","","","","29.21","","","","","","","","","","","","","","","","35.432","33.362","","","",
"High income","HIC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","41.0237978172479","40.9658195020511","","41.7987307555761","41.2870550777328","42.3503410132751","43.5482520781907","43.1494350367799","43.8632941217785","44.4878438016122","45.3797488143488","46.0750028623489","46.4573347852481","46.1241529954167","46.3995866305501","46.5705617819392","47.1146280860062","47.0073408024742","47.24525813562","47.3350370166008","47.4005765441475","47.6176948087283","47.8654268406972","47.5757645471818","48.1131503619176","48.1958932593702","48.5465242857904","48.7055548217211","49.1080003265047","49.1997850372342","48.4782190211121","48.7815693492634","48.8394967319324","48.2804477718837","48.4852198471986","48.8667643832553","49.1504667542961","50.3240156929844","50.2378743373309","50.788495541932","51.3457003534249","49.2501179732851","50.2587892351626","51.5708128794991",
"Hong Kong SAR, China","HKG","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","42.07","43.23","46.84","45.96","45.88","47.32","47.2","47.59","47.6","47.3","46.17","45.45","","","","","46.31","46.69","46.98","46.59","47.42","46.68","","","","","","50.67","","","50.93","50.092","51.471","52.065","52.869","52.904","52.996","53.109","53.581","53.914","53.809","51.753","51.898","51.047",
"Honduras","HND","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.21","34.64","","","34.66","","","42.12","46.24","","38.34","35.9","37.4","36.46","39.548","37.709","37.098","38.725","39.941","41.013","37.904","37.057","40.97","42.629","43.358","42.748","43.096","47.446","44.359","41.793","45.218","44.37",
"Heavily indebted poor countries (HIPC)","HPC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.371","35.5","36.377","36.123","36.979","36.723","37.376","40.023","41.002","41.701","40.458","38.487","37.418","37.115","37.948","38.957","39.164","40.149","41.255","41.95","41.296","42.121","43.145",
"Haiti","HTI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","55.08","","","","","","","","","","44.2","","","","","","","","","","","","","28","","","","","","","","","45.322","","","","","","","","","","",
"Hungary","HUN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","40.97","41.18","","45.21","","","","44.8","44.93","44.79","45.25","45.38","44.73","42.74","46.593","43.466","41.922","40.002","36.38","36.042","37.25","38.888","39.262","39.123","39.288","40.088","39.772","39.883","39.966","39.653","39.312","38.66","39.107","39.136","40.198","40.554","42.782","44.023","45.581","46.159","46.75","47.045","46.325","50.577","51.811",
"IBRD only","IBD","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7849157663416","","","","","","","","","","","","","","","","","","","36.2570857445083","","35.9713665616353","",
"IDA & IBRD total","IBT","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.83010609169","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4575223845338","","","","","","","","","","","","","","","","","","","","","","","","","39.9563328527244","","38.8338222255618","","","","","","38.0656948157359","","","",
"Indonesia","IDN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","54.82","41.86","46.73","","","","44.39","","","","51.75","","52.77","52.25","49.191","48.123","48.942","48.031","48.198","","47.746","47.108","48.024","47.641","48.223","46.313","44.239","43.827","42.868","41.293","41.657","44.835","46.307","46.941","47.71","48.128","49.01","48.535","48.659","48.508","48.966","50.121","50.886","52.113","51.171","50.404","50.843",
"IDA only","IDX","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.97","","","","","48.49","","","","","54.87","","","","","55.11","","","","","55.901","","","","","78.28","","","","","","",
"India","IND","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.318","","","","","","29.957","","","","","27.625","","","","","27.806","","26.233","","","","","","19.145","22.578","24.398","25.579","26.963",
"Not classified","INX","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","28.78","27.668","26.896","27.247","28.264","28.048","28.873","30.078","30.062","31.189","32.457","33.702","35.114","36.662","38.338","40.706","43.333","45.14","45.876","46.955","47.168","47.539","49.739","50.801","54.166","53.586","50.774","48.946","48.094","47.781","48.408","48.954","49.965","51.363","52.147","52.849","53.61","51.983","54.302","56.666",
"Iran, Islamic Rep.","IRN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","","6.6","","","","","9.86","","","","","","","","","15.479","15.142","14.339","12.333","13.108","12.094","10.853","11.931","10.747","10.473","11.603","12.88","13.933","14.204","14","11.702","11.128","11.428",
"Iraq","IRQ","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.307","","","","","10.423","","10.63","","11.31","7.72","","","","7.719","",
"Iceland","ISL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.791","70.606","70.313","70.771","73.612","73.133","71.555","73.069","76.091","77.674","76.712","76.183","75.61","74.695","75.159","75.375","75.984","75.019","72.06","71.609","71.651","72.712","73.699","74.892","76.439","77.318","76.754","75.941","74.966","71.03","64.882","68.305",
"Israel","ISR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","29.8","","30.45","","33.06","33.58","33.56","33.84","33.94","34.65","34.92","34.43","35.46","36.05","37","37.06","40.174","39.563","40.392","42.211","44.709","46.312","46.624","46.087","45.868","46.766","47.764","47.68","46.874","47.153","47.57","49.222","49.744","50.871","51.888","52.127","52.946","53.179","55.293","55.573","56.689","56.958","57.508","57.759","58.532","58.321","57.074","56.902","58.957",
"Italy","ITA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","27.47","27.35","27.77","28.3","","28","28.181","27.831","28.013","28.345","28.48","28.671","29.042","29.495","30.337","29.302","28.579","28.387","28.144","28.463","28.579","28.935","29.621","30.371","31.483","32.124","32.869","34.522","34.243","34.841","34.967","35.381","34.704","34.504","34.734","35.016","34.493","34.581","34.724","35.283","35.864","36.257","36.679","35.781","35.848","36.887",
"Jamaica","JAM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","40.63","39.95","40.02","","40.22","","38.29","38.94","38.3","","","40.41","","","47.01","","48.49","","","","48.58","47.87","46.61","45.34","44.84","42.89","","42.47","","","","","","48.9","50.583","48.746","47.112","46.924","46.697","46.247","46.918","46.202","49.683","51.347","52.357","53.883","51.256","52.487","",
"Jordan","JOR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","9.7","9.3","9.6","8.9","8.7","8.7","8.9","11","10.8","11.3","11.5","11.6","11.3","10.3","10","","","12.314","11.078","10.157","10.949","10.189","",
"Japan","JPN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","53.62","53.517","52.609","51.299","50.449","49.973","50.17","50.437","50.076","49.563","49.335","48.247","47.123","47.634","45.926","44.959","44.991","45.809","46.423","46.671","46.657","46.655","46.938","47.682","47.502","47.378","47.249","47.247","47.598","48.32","49.015","49.551","49.593","48.977","48.686","48.352","48.325","48.686","48.143","47.38","47.058","46.819","46.054","45.888","46.116","46.327","46.58","46.626","46.554","46.179","46.172","46.15","46.14","47.001","47.573","47.933","48.836","49.722","51.24","52.119","51.778","52.18","52.95",
"Kazakhstan","KAZ","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.64","58.24","58.38","","","","61.38","","","","","","","","","","","","60.3","","94.5",
"Kenya","KEN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.883","","","","","","","","","","","69.361","","","59.591","","58.097","",
"Kyrgyz Republic","KGZ","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4","","","","","","","47.9","57.339","56.223","54.172","52.162","51.973","52.679","52.013","49.678","50.028","49.422","50.394","50.228","",
"Cambodia","KHM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.052","70.081","69.2","78.559","74.131","79.981","","74.803","77.63","","","73.825","74.68","76.95","80.631","81.448","60.734","74.068","73.832","73.088","75.267","76.276","","69.578","76.964","73.422","",
"Kiribati","KIR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.93","","","","","16.65","","","","","34.45","","","","","31.681","","","","26.197","35.612","","",
"St. Kitts and Nevis","KNA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","39.99","","","","","","","","","","","54.33","","","","","","","","","","61.67","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","41.251","41.264","42.311","41.865","39.772","40.927","42.201","44.129","44.229","45.702","46.143","46.188","46.11","46.019","46.9","47.561","48.091","48.597","44.387","45.189","47.784","48.511","49.171","48.011","49.174","49.242","49.659","49.725","49.432","48.491","48.62","48.899","49.163","49.521","50.409","50.617","50.791","51.307","51.305","51.922","51.061","51.692","53.372",
"Kuwait","KWT","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.73","","","","","33.53","","","","","","","","","33.04","","","","","","45.63","","45.03","53.9","55.1","","54.06","57.8","","","","","54.5","46.98","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9292875601032","42.5982714598759","","41.0297177192635","40.8343127464777","41.9281917102619","42.6639088139706","43.2907568755002","","44.3572874224094","44.6942855884203","44.6653239639449","45.6198359392821","46.5494179760276","47.4705163707791","46.8641025763261","47.6978331879442","47.5340624445104","","46.9613421820715","47.4338438250883","47.355565026264","46.9201452979578","47.0426905996806","46.5015466840772","46.3688548093378","46.8645406700582","47.3821893324893","42.4722301594538","45.1090073702279","47.5362583430089",
"Lao PDR","LAO","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","","","","","","","","92.89","","65.4","","","","","76.152","","","","","","","54.553","","","","","60.919",
"Lebanon","LBN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8","","","","","","","18.43","","","18.98","","","","","","","","","","","","25.15","","","",
"Liberia","LBR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.34","","","53.442","","","","69.992","","70.455","41.051","","","","","",
"Libya","LBY","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.3","","","","","","","","","","",
"St. Lucia","LCA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8","","","","","","","65.8","","","44.94","46.3","46.9","48.2","48.3","44.68","48.08","","49.31","50.88","48.24","","","","50.265","50.323","53.205","35.862","46.705","51.478",
"Latin America & Caribbean","LCN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2980294448765","42.3921424480004","","40.8662501958744","40.1556884730146","41.4600045879641","42.1744814432142","42.7559869982972","","43.8601811777574","44.062683732166","44.0851490874181","45.0482355828961","45.8545409237121","46.7914047318185","46.3879821553643","47.2336788949257","47.2277831524256","","46.7360069594824","47.2005584549304","47.3455970333049","46.9625497337909","46.9381708726731","46.4987163603486","46.6544037782152","46.9290426737142","47.4372677596884","42.4708037374993","45.0117451935726","47.4650762267182",
"Least developed countries: UN classification","LDC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.58","50.31","49.42","49.5","49.45","49.35","49.82","50.9","51.34","50.89","50.77","52.93","52.39","51.9","51.78","52.08","51.9","52.1","","","","","",
"Sri Lanka","LKA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","15.59","","","","30.23","","","","","","","","","29.31","29.16","29.78","30.64","35.55","33.6","","28.2","29.2","","","27.2","","","","32.17","31.78","31.832","30.89","32.045","31.459","33.15","33.37","34.251","31.177","31.902","29.34","","",
"Lower middle income","LMC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6209890070364","","","","","28.7828381679716","","","","","32.4073113882915","","29.7060649833166","","","","","","25.2627095413475","30.2557756504595","29.6601847611337","29.4795854218888","33.130617973954",
"Low & middle income","LMY","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9495794525511","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3","","","","","","","","","","","24.8","","48.31","","","","","","","","","24.53","","","","","41.73","","","","","","39.579","","","",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5736163110031","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","47.105","48.481","47.492","46.017","45.888","47.769","45.779","46.431","47.38","48.027","47.672","46.562","44.905","45.9","47.042","47.4","48.911","49.999","51.948","52.664","53.468","54.123","52.934","53.556","55.606",
"Luxembourg","LUX","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","31.338","31.885","33.417","33.379","34.276","33.333","33.704","32.809","35.119","37.975","36.386","36.713","34.292","35.301","36.752","36.903","39.364","40.072","41.466","41.931","41.601","42.188","43.65","46.304","47.999","45.159","46.837","47.246","47.107","48.823","49.14","50.359","50.553","49.965","51.943","52.518","52.736","53.037","54.872","55.241",
"Latvia","LVA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.677","43.243","42.46","43.958","44.833","44.739","44.52","45.634","48.711","50.159","51.11","46.821","45.128","45.742","46.758","48.016","48.175","49.443","50.367","50.946","52.226","52.66","52.068","50.77","52.546",
"Macao SAR, China","MAC","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.58","46.86","47.09","47.62","","52.53","51.82","","54.05","","","51.51","52.93","54.56","56.42","59.52","61.94","64.51","64.71","66.01","65.66","66.57","67.19","66.96","66.33","","","","","","",
"St. Martin (French part)","MAF","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
